event_id,region_id,event_date,event_start_time,event_end_time,latitude,longitude,max_frp,mean_frp,total_frp,observation_count,satellite_count,satellites,event_cluster_confidence,event_cluster_method
EVT_20260630_0078,thoothukudi,2026-06-30,0835,0835,8.56587,78.12151,4.09,4.09,4.09,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260630_0079,thoothukudi,2026-06-30,0835,0835,8.70381,78.10857,3.42,3.42,3.42,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260701_0080,thoothukudi,2026-07-01,0731,0731,8.745172,78.16344,18.01,16.12,64.5,4,1,N20,MEDIUM,spatial_temporal_bfs
EVT_20260702_0081,thoothukudi,2026-07-02,0756,0756,8.891607,78.055853,5.48,4.44,13.32,3,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260703_0082,thoothukudi,2026-07-03,0833,0833,8.75918,78.18197,3.61,3.61,3.61,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260705_0083,thoothukudi,2026-07-05,0754,0839,8.515798,78.06301,5.87,4.79,19.17,4,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260705_0084,thoothukudi,2026-07-05,0754,0754,8.54408,78.12749,6.02,6.02,6.02,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260705_0085,thoothukudi,2026-07-05,0754,0754,8.57296,78.08848,9.24,9.24,9.24,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260705_0086,thoothukudi,2026-07-05,0754,0839,8.674925,78.042795,6.54,5.51,22.05,4,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260705_0087,thoothukudi,2026-07-05,0754,0754,8.74794,77.99934,3.94,3.94,3.94,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260705_0088,thoothukudi,2026-07-05,0839,0839,8.61112,77.97647,6.33,6.33,6.33,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260705_0089,thoothukudi,2026-07-05,0839,0839,8.76077,78.18306,4.84,4.84,4.84,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260706_0090,thoothukudi,2026-07-06,0822,0822,8.75857,78.18122,14.96,14.96,14.96,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260706_0091,thoothukudi,2026-07-06,0822,0822,8.86743,78.15778,3.88,3.88,3.88,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260706_0092,thoothukudi,2026-07-06,2012,2057,8.758747,78.18315,2.26,2.13,8.54,4,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260707_0093,thoothukudi,2026-07-07,0803,0803,8.69401,78.05341,5.31,5.31,5.31,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260707_0094,thoothukudi,2026-07-07,0803,0858,8.75737,78.18203,13.66,11.54,23.09,2,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260707_0095,thoothukudi,2026-07-07,0803,0803,8.86108,78.0523,11.0,11.0,11.0,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260707_0096,thoothukudi,2026-07-07,1951,2038,8.75855,78.182793,5.7,3.58,10.74,3,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260708_0097,thoothukudi,2026-07-08,2114,2114,8.75731,78.1812,7.96,7.96,7.96,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260709_0098,thoothukudi,2026-07-09,0820,0820,8.84491,77.99417,8.02,8.02,8.02,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260709_0099,thoothukudi,2026-07-09,0820,0820,8.85846,77.94576,9.78,9.78,9.78,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260710_0100,thoothukudi,2026-07-10,1942,1942,8.85192,78.13534,1.07,1.07,1.07,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260711_0101,thoothukudi,2026-07-11,0741,0741,8.69392,78.05166,3.97,3.97,3.97,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260711_0102,thoothukudi,2026-07-11,2017,2017,8.67076,77.99223,0.59,0.59,0.59,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260711_0103,thoothukudi,2026-07-11,2017,2017,8.86807,78.12141,0.73,0.73,0.73,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260712_0104,thoothukudi,2026-07-12,0724,0724,8.89624,78.07236,3.08,3.08,3.08,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260712_0105,thoothukudi,2026-07-12,0809,0809,8.66283,78.03506,13.62,13.62,13.62,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260712_0106,thoothukudi,2026-07-12,0809,0809,8.68076,78.06427,7.59,7.59,7.59,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260712_0107,thoothukudi,2026-07-12,0809,0809,8.74524,78.12827,2.13,2.13,2.13,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260713_0108,thoothukudi,2026-07-13,2025,2025,8.84894,78.13416,1.45,1.45,1.45,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260714_0109,thoothukudi,2026-07-14,2008,2008,8.70241,78.05972,1.21,1.21,1.21,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260716_0110,thoothukudi,2026-07-16,2023,2023,8.84957,78.13499,1.0,1.0,1.0,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260717_0111,thoothukudi,2026-07-17,0816,0816,8.60856,78.09164,3.86,3.86,3.86,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260718_0112,thoothukudi,2026-07-18,0756,0756,8.75063,78.10085,7.32,7.32,7.32,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260718_0113,thoothukudi,2026-07-18,0756,0852,8.851477,78.019773,8.37,4.52,13.57,3,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260719_0114,thoothukudi,2026-07-19,0737,0833,8.742296,77.95846,12.1,7.45,52.13,7,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260720_0115,thoothukudi,2026-07-20,0813,0813,8.84538,78.06369,2.03,2.03,2.03,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260721_0116,thoothukudi,2026-07-21,2032,2032,8.66998,77.99445,0.76,0.76,0.76,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260722_0117,thoothukudi,2026-07-22,2012,2012,8.61174,78.1255,1.71,1.71,1.71,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260722_0118,thoothukudi,2026-07-22,2012,2012,8.84976,78.1354,1.27,1.27,1.27,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260723_0119,thoothukudi,2026-07-23,0803,0803,8.75921,78.18096,7.48,7.48,7.48,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260723_0120,thoothukudi,2026-07-23,0858,0858,8.61686,77.959485,5.57,4.64,9.28,2,1,N20,MEDIUM,spatial_temporal_bfs
