event_id,region_id,original_observation_id,latitude,longitude,acq_date,acq_time,satellite,frp,confidence,instrument,daynight
EVT_20260606_0044,thoothukudi,OBS_00193,8.60727,78.0759,2026-06-06,837,N20,5.25,n,VIIRS,D
EVT_20260606_0045,thoothukudi,OBS_00194,8.8628,78.13254,2026-06-06,837,N20,3.81,n,VIIRS,D
EVT_20260606_0045,thoothukudi,OBS_00195,8.86355,78.12963,2026-06-06,837,N20,3.6,n,VIIRS,D
EVT_20260608_0046,thoothukudi,OBS_00196,8.77915,77.96409,2026-06-08,801,N20,0.76,n,VIIRS,D
EVT_20260609_0047,thoothukudi,OBS_00062,8.85544,78.12857,2026-06-09,828,N21,3.49,n,VIIRS,D
EVT_20260609_0047,thoothukudi,OBS_00063,8.85594,78.13216,2026-06-09,828,N21,2.23,n,VIIRS,D
EVT_20260613_0048,thoothukudi,OBS_00197,8.86795,78.12238,2026-06-13,2042,N20,0.65,n,VIIRS,N
EVT_20260614_0049,thoothukudi,OBS_00198,8.77269,78.19781,2026-06-14,2023,N20,6.35,n,VIIRS,N
EVT_20260615_0050,thoothukudi,OBS_00064,8.67767,78.07226,2026-06-15,816,N21,1.7,n,VIIRS,D
EVT_20260615_0051,thoothukudi,OBS_00065,8.8802,78.11749,2026-06-15,816,N21,5.64,n,VIIRS,D
EVT_20260615_0051,thoothukudi,OBS_00066,8.88055,78.11755,2026-06-15,816,N21,6.64,n,VIIRS,D
EVT_20260617_0052,thoothukudi,OBS_00067,8.62939,78.07955,2026-06-17,2014,N21,0.83,n,VIIRS,N
EVT_20260618_0053,thoothukudi,OBS_00068,8.66783,77.99359,2026-06-18,1955,N21,1.68,n,VIIRS,N
EVT_20260619_0054,thoothukudi,OBS_00199,8.88201,78.12433,2026-06-19,754,N20,3.09,n,VIIRS,D
EVT_20260619_0054,thoothukudi,OBS_00200,8.88278,78.12225,2026-06-19,754,N20,5.15,n,VIIRS,D
EVT_20260620_0055,thoothukudi,OBS_00201,8.77572,77.9572,2026-06-20,733,N20,1.75,n,VIIRS,D
EVT_20260620_0055,thoothukudi,OBS_00202,8.77632,77.96049,2026-06-20,733,N20,3.2,n,VIIRS,D
EVT_20260620_0055,thoothukudi,OBS_00071,8.77614,77.95953,2026-06-20,822,N21,10.14,n,VIIRS,D
EVT_20260620_0056,thoothukudi,OBS_00069,8.60638,77.97795,2026-06-20,822,N21,3.43,n,VIIRS,D
EVT_20260620_0057,thoothukudi,OBS_00070,8.65484,77.92022,2026-06-20,822,N21,2.27,l,VIIRS,D
EVT_20260624_0058,thoothukudi,OBS_00072,8.6669,78.07897,2026-06-24,845,N21,6.12,n,VIIRS,D
EVT_20260624_0058,thoothukudi,OBS_00073,8.66739,78.08266,2026-06-24,845,N21,6.12,n,VIIRS,D
EVT_20260625_0059,thoothukudi,OBS_00203,8.57286,78.11163,2026-06-25,741,N20,5.95,n,VIIRS,D
EVT_20260625_0059,thoothukudi,OBS_00074,8.57226,78.10987,2026-06-25,828,N21,6.25,n,VIIRS,D
EVT_20260625_0060,thoothukudi,OBS_00204,8.70718,77.95376,2026-06-25,741,N20,4.31,n,VIIRS,D
EVT_20260625_0060,thoothukudi,OBS_00205,8.71194,77.95295,2026-06-25,741,N20,4.31,n,VIIRS,D
EVT_20260625_0060,thoothukudi,OBS_00075,8.7097,77.95412,2026-06-25,828,N21,6.73,n,VIIRS,D
EVT_20260625_0061,thoothukudi,OBS_00076,8.75734,78.18155,2026-06-25,828,N21,5.07,n,VIIRS,D
EVT_20260625_0062,thoothukudi,OBS_00077,8.85334,77.9468,2026-06-25,828,N21,5.69,n,VIIRS,D
EVT_20260625_0062,thoothukudi,OBS_00078,8.85382,77.95029,2026-06-25,828,N21,4.44,n,VIIRS,D
EVT_20260625_0063,thoothukudi,OBS_00079,8.88041,78.14133,2026-06-25,828,N21,4.36,n,VIIRS,D
EVT_20260625_0063,thoothukudi,OBS_00080,8.88445,78.14075,2026-06-25,828,N21,4.36,n,VIIRS,D
