event_id,event_date,event_start_time,event_end_time,observation_count,satellite_count,satellites,max_frp,total_frp,mean_frp,latitude,longitude,worldcover_class,worldcover_context,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km,source_class,source_class_v2,classification_confidence_v2,evidence_strength,classification_reason,evidence_summary,interpretation
EVT_20260505_0029,2026-05-05,744,744,1,1,N21,2.52,2.52,2.52,8.78858,77.93148,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986423924.0,,,industrial,plant,,3.607,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260505_0030,2026-05-05,744,744,1,1,N21,8.57,8.57,8.57,8.88589,78.04684,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,385432388.0,Thoothukudi IBTPL power station,,industrial,plant,,0.852,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,OSM industrial association; WorldCover context=UNKNOWN,Thermal point is 0.852 km from mapped industrial feature: Thoothukudi IBTPL power station; WorldCover=UNKNOWN,Thermal observation spatially associated with industrial infrastructure
EVT_20260519_0031,2026-05-19,822,822,1,1,N21,7.45,7.45,7.45,8.74381,78.1442,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831356.0,,,,,works,0.719,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,OSM industrial association; WorldCover context=UNKNOWN,Thermal point is near mapped industrial feature; WorldCover=UNKNOWN,Thermal observation spatially associated with industrial infrastructure
EVT_20260521_0032,2026-05-21,744,744,1,1,N21,7.66,7.66,7.66,8.76474,78.09692,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1235088522.0,,,industrial,,,1.512,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260521_0033,2026-05-21,744,744,1,1,N21,6.75,6.75,6.75,8.86928,77.96659,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,UNKNOWN,LOW,LOW,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260526_0034,2026-05-26,750,750,2,1,N21,3.25,6.5,3.25,8.75491,78.090295,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1235088522.0,,,industrial,,,2.764,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260529_0035,2026-05-29,835,835,1,1,N21,5.25,5.25,5.25,8.75027,78.0775,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831352.0,,,industrial,,,3.572,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260530_0036,2026-05-30,2051,2051,1,1,N21,1.43,1.43,1.43,8.85935,78.16643,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827217.0,,,industrial,,,3.553,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260601_0037,2026-06-01,830,830,1,1,N20,6.06,6.06,6.06,8.74789,78.078,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831352.0,,,industrial,,,3.363,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260601_0038,2026-06-01,833,833,1,1,N20,10.95,10.95,10.95,8.80227,77.90195,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,UNKNOWN,LOW,LOW,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260602_0039,2026-06-02,811,811,1,1,N20,2.21,2.21,2.21,8.67747,78.06907,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831349.0,,,industrial,,,2.968,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260602_0040,2026-06-02,811,811,1,1,N20,1.58,1.58,1.58,8.73695,78.05997,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,823674462.0,,,industrial,,,3.293,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260602_0041,2026-06-02,811,811,1,1,N20,1.92,1.92,1.92,8.75108,78.08628,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831352.0,,,industrial,,,2.98,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260605_0042,2026-06-05,803,803,1,1,N21,3.4,3.4,3.4,8.74904,78.07733,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831352.0,,,industrial,,,3.5,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260605_0043,2026-06-05,803,803,1,1,N21,1.96,1.96,1.96,8.87605,78.00178,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1516453098.0,,,industrial,,,2.821,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260606_0044,2026-06-06,837,837,1,1,N20,5.25,5.25,5.25,8.60727,78.0759,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,548907979.0,DCW,chemical,industrial,,,2.52,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260606_0045,2026-06-06,837,837,2,1,N20,3.81,7.41,3.7,8.863175,78.131085,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827217.0,,,industrial,,,1.442,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260608_0046,2026-06-08,801,801,1,1,N20,0.76,0.76,0.76,8.77915,77.96409,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986423924.0,,,industrial,plant,,1.548,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260609_0047,2026-06-09,828,828,2,1,N21,3.49,5.72,2.86,8.85569,78.130365,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827219.0,,,industrial,,,1.05,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260613_0048,2026-06-13,2042,2042,1,1,N20,0.65,0.65,0.65,8.86795,78.12238,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,385432381.0,Thoothukudi IBPGL,,,plant,,1.593,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260614_0049,2026-06-14,2023,2023,1,1,N20,6.35,6.35,6.35,8.77269,78.19781,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827207.0,,,,,works,0.593,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,OSM industrial association; WorldCover context=UNKNOWN,Thermal point is near mapped industrial feature; WorldCover=UNKNOWN,Thermal observation spatially associated with industrial infrastructure
EVT_20260615_0050,2026-06-15,816,816,1,1,N21,1.7,1.7,1.7,8.67767,78.07226,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831349.0,,,industrial,,,2.699,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
