event_id,region_id,latitude,longitude,acq_date,acq_time,observation_count,satellite_count,satellites,frp,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km
EVT_20260624_0058,thoothukudi,8.667145,78.080815,2026-06-24,845,2,1,N21,6.12,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831349.0,,,industrial,,,1.273
EVT_20260625_0059,thoothukudi,8.57256,78.11075,2026-06-25,741,2,2,"N20,N21",6.25,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,548907979.0,DCW,chemical,industrial,,,2.995
EVT_20260625_0060,thoothukudi,8.709607,77.95361,2026-06-25,741,3,2,"N20,N21",6.73,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260625_0061,thoothukudi,8.75734,78.18155,2026-06-25,828,1,1,N21,5.07,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,592629497.0,,,,,storage_tank,0.585
EVT_20260625_0062,thoothukudi,8.85358,77.948545,2026-06-25,828,2,1,N21,5.69,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260625_0063,thoothukudi,8.88243,78.14104,2026-06-25,828,2,1,N21,4.36,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827217.0,,,industrial,,,0.963
EVT_20260627_0064,thoothukudi,8.850275,77.975755,2026-06-27,843,2,1,N20,8.72,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260627_0065,thoothukudi,8.66945,77.99419,2026-06-27,2025,1,1,N21,1.21,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260627_0066,thoothukudi,8.82218,78.054435,2026-06-27,2025,2,1,N21,1.94,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,661590303.0,,,industrial,,,2.244
EVT_20260628_0067,thoothukudi,8.82998,77.9785,2026-06-28,731,1,1,N21,1.58,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260628_0068,thoothukudi,8.85756,78.03976,2026-06-28,731,1,1,N21,8.42,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1432129271.0,,,,plant,,0.868
EVT_20260628_0069,thoothukudi,8.67023,77.99241,2026-06-28,2008,1,1,N21,1.05,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260629_0070,thoothukudi,8.75938,78.18442,2026-06-29,805,1,1,N20,5.54,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,114488444.0,,,,,storage_tank,0.425
EVT_20260629_0071,thoothukudi,8.77312,77.9638,2026-06-29,805,1,1,N20,1.79,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986423924.0,,,industrial,plant,,1.029
EVT_20260629_0072,thoothukudi,8.88808,77.98834,2026-06-29,805,1,1,N20,1.14,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1516453098.0,,,industrial,,,3.579
EVT_20260629_0073,thoothukudi,8.79237,78.02587,2026-06-29,854,1,1,N21,1.81,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260629_0074,thoothukudi,8.81134,78.079335,2026-06-29,854,2,1,N21,6.49,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,661590305.0,,,industrial,,,0.58
EVT_20260629_0075,thoothukudi,8.67153,77.99429,2026-06-29,2042,1,1,N20,1.25,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260630_0076,thoothukudi,8.79416,78.05643,2026-06-30,748,1,1,N20,2.9,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1073989741.0,,,industrial,,,2.751
EVT_20260630_0077,thoothukudi,8.86758,78.15696,2026-06-30,748,2,1,N20,4.29,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827217.0,,,industrial,,,2.229
EVT_20260630_0078,thoothukudi,8.56587,78.12151,2026-06-30,835,1,1,N21,4.09,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,548907979.0,DCW,chemical,industrial,,,4.322
EVT_20260630_0079,thoothukudi,8.70381,78.10857,2026-06-30,835,1,1,N21,3.42,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831350.0,,,industrial,,,1.654
EVT_20260701_0080,thoothukudi,8.745172,78.16344,2026-07-01,731,4,1,N20,18.01,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,822892679.0,SEPC,,industrial,plant,,1.31
EVT_20260702_0081,thoothukudi,8.891607,78.055853,2026-07-02,756,3,1,N21,5.48,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,385432388.0,Thoothukudi IBTPL power station,,industrial,plant,,0.68
EVT_20260703_0082,thoothukudi,8.75918,78.18197,2026-07-03,833,1,1,N20,3.61,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,592629497.0,,,,,storage_tank,0.458
EVT_20260705_0083,thoothukudi,8.515798,78.06301,2026-07-05,754,4,2,"N20,N21",5.87,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260705_0084,thoothukudi,8.54408,78.12749,2026-07-05,754,1,1,N20,6.02,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1504375937.0,,,industrial,,,3.521
EVT_20260705_0085,thoothukudi,8.57296,78.08848,2026-07-05,754,1,1,N20,9.24,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,548907979.0,DCW,chemical,industrial,,,2.484
EVT_20260705_0086,thoothukudi,8.674925,78.042795,2026-07-05,754,4,2,"N20,N21",6.54,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260705_0087,thoothukudi,8.74794,77.99934,2026-07-05,754,1,1,N20,3.94,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1227454932.0,,,,,,2.967
EVT_20260705_0088,thoothukudi,8.61112,77.97647,2026-07-05,839,1,1,N21,6.33,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260705_0089,thoothukudi,8.76077,78.18306,2026-07-05,839,1,1,N21,4.84,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,592629497.0,,,,,storage_tank,0.485
EVT_20260706_0090,thoothukudi,8.75857,78.18122,2026-07-06,822,1,1,N21,14.96,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,592629497.0,,,,,storage_tank,0.451
EVT_20260706_0091,thoothukudi,8.86743,78.15778,2026-07-06,822,1,1,N21,3.88,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827217.0,,,industrial,,,2.32
EVT_20260706_0092,thoothukudi,8.758747,78.18315,2026-07-06,2012,4,2,"N20,N21",2.26,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,114488441.0,,,,,storage_tank,0.525
EVT_20260707_0093,thoothukudi,8.69401,78.05341,2026-07-07,803,1,1,N21,5.31,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831350.0,,,industrial,,,4.551
EVT_20260707_0094,thoothukudi,8.75737,78.18203,2026-07-07,803,2,2,"N20,N21",13.66,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,114488441.0,,,,,storage_tank,0.608
EVT_20260707_0095,thoothukudi,8.86108,78.0523,2026-07-07,803,1,1,N21,11.0,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827220.0,,,industrial,,,0.765
EVT_20260707_0096,thoothukudi,8.75855,78.182793,2026-07-07,1951,3,2,"N20,N21",5.7,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,114488441.0,,,,,storage_tank,0.554
EVT_20260708_0097,thoothukudi,8.75731,78.1812,2026-07-08,2114,1,1,N20,7.96,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,592629497.0,,,,,storage_tank,0.569
EVT_20260709_0098,thoothukudi,8.84491,77.99417,2026-07-09,820,1,1,N20,8.02,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1011035031.0,Orange Sironj,,industrial,substation,,4.176
EVT_20260709_0099,thoothukudi,8.85846,77.94576,2026-07-09,820,1,1,N20,9.78,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260710_0100,thoothukudi,8.85192,78.13534,2026-07-10,1942,1,1,N21,1.07,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827219.0,,,industrial,,,1.499
EVT_20260711_0101,thoothukudi,8.69392,78.05166,2026-07-11,741,1,1,N20,3.97,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1442917861.0,,,,plant,,4.629
EVT_20260711_0102,thoothukudi,8.67076,77.99223,2026-07-11,2017,1,1,N20,0.59,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260711_0103,thoothukudi,8.86807,78.12141,2026-07-11,2017,1,1,N20,0.73,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,385432381.0,Thoothukudi IBPGL,,,plant,,1.489
EVT_20260712_0104,thoothukudi,8.89624,78.07236,2026-07-12,724,1,1,N20,3.08,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986411990.0,Arasadi,,industrial,plant,,1.287
EVT_20260712_0105,thoothukudi,8.66283,78.03506,2026-07-12,809,1,1,N21,13.62,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
