event_id,latitude,longitude,event_date,event_start_time,max_frp,observation_count,worldcover_class_code,worldcover_class
EVT_20260724_0125,8.61237,77.97205,2026-07-24,744,3.18,1,,UNKNOWN
EVT_20260724_0126,8.61637,77.954327,2026-07-24,744,4.27,3,,UNKNOWN
EVT_20260724_0127,8.672645,78.09678,2026-07-24,744,2.89,2,,UNKNOWN
EVT_20260724_0128,8.80012,78.12872,2026-07-24,744,5.78,1,,UNKNOWN
EVT_20260724_0129,8.60956,77.98328,2026-07-24,837,2.56,1,,UNKNOWN
EVT_20260724_0130,8.75892,78.18311,2026-07-24,839,4.78,1,,UNKNOWN
EVT_20260724_0131,8.81455,77.97631,2026-07-24,839,7.79,1,,UNKNOWN
EVT_20260724_0132,8.86727,78.15775,2026-07-24,839,2.68,1,,UNKNOWN
EVT_20260724_0133,8.57257,78.07323,2026-07-24,2019,5.43,1,,UNKNOWN
EVT_20260724_0134,8.67059,77.99273,2026-07-24,2019,1.11,1,,UNKNOWN
EVT_20260725_0135,8.61882,77.95472,2026-07-25,726,3.83,2,,UNKNOWN
EVT_20260725_0136,8.846798,77.957348,2026-07-25,726,14.62,5,,UNKNOWN
EVT_20260725_0137,8.76865,78.05247,2026-07-25,820,2.81,1,,UNKNOWN
EVT_20260725_0138,8.77572,78.07705,2026-07-25,2002,0.25,1,,UNKNOWN
EVT_20260726_0139,8.75737,78.183,2026-07-26,803,8.42,1,,UNKNOWN
EVT_20260726_0140,8.60473,78.06739,2026-07-26,845,4.14,1,,UNKNOWN
EVT_20260726_0141,8.64032,77.90717,2026-07-26,848,3.33,1,,UNKNOWN
EVT_20260726_0142,8.86824,78.12153,2026-07-26,2038,0.49,1,,UNKNOWN
EVT_20260727_0143,8.67911,78.048315,2026-07-27,741,11.53,2,,UNKNOWN
EVT_20260727_0144,8.61868,77.95311,2026-07-27,828,2.5,1,,UNKNOWN
EVT_20260727_0145,8.72816,78.08289,2026-07-27,828,1.76,1,,UNKNOWN
