facility_name,acq_date,observation_count,max_frp_mw,mean_frp_mw,total_frp_mw,source_class,classification_confidence,evidence_strength,worldcover_context,worldcover_class,association_type,association_confidence,osm_feature_name,osm_industrial,osm_landuse,behavior_state,behavior_score,frp_score,detection_score,frequency_score,previous_active_days,persistence_state,active_days,activity_frequency,median_gap_days,max_gap_days,max_consecutive_active_days,investigation_priority,evidence_summary,reason,decision_interpretation
Thoothukudi IBPGL,2026-07-26,1,0.49,0.49,0.49,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,TREE_COVER,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Thoothukudi IBPGL,,,INSUFFICIENT_HISTORY,,,,,3,INTERMITTENT,5,0.0463,21.5,60.0,1,LOW,No strong mapped industrial association; WorldCover=TREE_COVER,thermal behaviour is within the site's previous historical range,Thoothukudi IBPGL: insufficient historical observations for reliable behavioural assessment.
Thoothukudi IBPGL,2026-07-30,1,1.36,1.36,1.36,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,TREE_COVER,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Thoothukudi IBPGL,,,INSUFFICIENT_HISTORY,,,,,4,INTERMITTENT,5,0.0463,21.5,60.0,1,LOW,No strong mapped industrial association; WorldCover=TREE_COVER,thermal behaviour is within the site's previous historical range,Thoothukudi IBPGL: insufficient historical observations for reliable behavioural assessment.
Thoothukudi IBTPL power station,2026-05-05,1,8.57,8.57,8.57,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,NATURAL,SHRUBLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Thoothukudi IBTPL power station,,industrial,INSUFFICIENT_HISTORY,,,,,0,INTERMITTENT,4,0.0412,26.0,58.0,1,LOW,Thermal point is 0.852 km from mapped industrial feature: Thoothukudi IBTPL power station; WorldCover=SHRUBLAND,thermal behaviour is within the site's previous historical range,Thoothukudi IBTPL power station: insufficient historical observations for reliable behavioural assessment.
Thoothukudi IBTPL power station,2026-07-02,1,5.48,5.48,5.48,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Thoothukudi IBTPL power station,,industrial,INSUFFICIENT_HISTORY,,,,,1,INTERMITTENT,4,0.0412,26.0,58.0,1,LOW,Thermal point is 0.680 km from mapped industrial feature: Thoothukudi IBTPL power station; WorldCover=CROPLAND,thermal behaviour is within the site's previous historical range,Thoothukudi IBTPL power station: insufficient historical observations for reliable behavioural assessment.
Thoothukudi IBTPL power station,2026-07-28,1,6.34,6.34,6.34,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,GRASSLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Thoothukudi IBTPL power station,,industrial,INSUFFICIENT_HISTORY,,,,,2,INTERMITTENT,4,0.0412,26.0,58.0,1,LOW,No strong mapped industrial association; WorldCover=GRASSLAND,thermal behaviour is within the site's previous historical range,Thoothukudi IBTPL power station: insufficient historical observations for reliable behavioural assessment.
Thoothukudi IBTPL power station,2026-08-09,1,9.0,9.0,9.0,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,GRASSLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Thoothukudi IBTPL power station,,industrial,INSUFFICIENT_HISTORY,,,,,3,INTERMITTENT,4,0.0412,26.0,58.0,1,LOW,No strong mapped industrial association; WorldCover=GRASSLAND,thermal behaviour is within the site's previous historical range,Thoothukudi IBTPL power station: insufficient historical observations for reliable behavioural assessment.
UNKNOWN,2026-03-03,1,4.78,4.78,4.78,UNKNOWN,LOW,MEDIUM,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,,INSUFFICIENT_HISTORY,,,,,0,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-03-05,1,3.18,3.18,3.18,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,SHRUBLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,industrial,INSUFFICIENT_HISTORY,,,,,1,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,No strong mapped industrial association; WorldCover=SHRUBLAND,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-03-07,1,4.84,4.84,4.84,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,GRASSLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,,,,INSUFFICIENT_HISTORY,,,,,2,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,No strong mapped industrial association; WorldCover=GRASSLAND,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
UNKNOWN,2026-03-21,1,9.7,9.7,9.7,UNKNOWN,LOW,LOW,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,INSUFFICIENT_HISTORY,,,,,3,RECURRING,84,0.4667,1.0,14.0,10,MEDIUM,Insufficient evidence,thermal behaviour is within the site's previous historical range,Recurring thermal source without a matched facility in the current infrastructure data. Candidate for further investigation; not evidence of an unregistered industry.
