event_id,region_id,event_date,event_start_time,event_end_time,latitude,longitude,max_frp,mean_frp,total_frp,observation_count,satellite_count,satellites,event_cluster_confidence,event_cluster_method
EVT_20260523_0087,jamnagar,2026-05-23,2121,2121,22.3384,69.85451,1.97,1.97,1.97,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260524_0088,jamnagar,2026-05-24,0833,0833,22.29005,69.74286,4.55,4.55,4.55,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260524_0089,jamnagar,2026-05-24,0833,0833,22.331155,69.735595,11.06,9.35,18.69,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260527_0090,jamnagar,2026-05-27,2004,2144,22.331953,69.73161,6.4,4.67,14.02,3,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260527_0091,jamnagar,2026-05-27,2004,2144,22.347947,69.751813,2.75,2.61,7.82,3,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260529_0092,jamnagar,2026-05-29,2108,2108,22.33627,69.86784,1.95,1.95,1.95,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260601_0093,jamnagar,2026-06-01,2104,2150,22.329155,69.738215,1.72,1.34,2.69,2,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260603_0094,jamnagar,2026-06-03,2114,2114,22.33898,69.85458,2.16,2.16,2.16,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260604_0095,jamnagar,2026-06-04,0920,0920,22.32907,69.740595,2.63,2.63,5.26,2,1,N20,MEDIUM,spatial_temporal_bfs
EVT_20260606_0096,jamnagar,2026-06-06,2110,2110,22.34049,69.85591,3.51,3.51,3.51,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260608_0097,jamnagar,2026-06-08,2121,2121,22.31896,69.884235,4.54,3.46,6.92,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260609_0098,jamnagar,2026-06-09,0833,0926,22.32029,69.884985,14.6,9.14,18.28,2,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260609_0099,jamnagar,2026-06-09,2014,2153,22.322763,69.88063,16.63,8.24,173.05,21,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260612_0100,jamnagar,2026-06-12,2057,2057,22.33482,69.8681,2.24,2.24,2.24,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260614_0101,jamnagar,2026-06-14,2019,2019,22.34205,69.8616,3.86,3.86,3.86,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260615_0102,jamnagar,2026-06-15,2046,2142,22.343095,69.86753,3.97,3.7,7.4,2,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260617_0103,jamnagar,2026-06-17,2010,2104,22.320727,69.87794,3.47,2.95,8.85,3,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260617_0104,jamnagar,2026-06-17,2104,2104,22.3363,69.86761,2.02,2.02,2.02,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260619_0105,jamnagar,2026-06-19,2114,2114,22.33996,69.85391,3.09,3.09,3.09,1,1,N21,LOW,spatial_temporal_bfs
