event_id,event_date,event_start_time,event_end_time,observation_count,satellite_count,satellites,max_frp,total_frp,mean_frp,latitude,longitude,worldcover_class,worldcover_context,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km,source_class,source_class_v2,classification_confidence_v2,evidence_strength,classification_reason,evidence_summary,interpretation
EVT_20260318_0022,2026-03-18,930,930,2,1,N21,26.69,50.91,25.46,22.433355,69.99164,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,984259059.0,,,industrial,,,0.602,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,OSM industrial association; WorldCover context=AGRICULTURAL,Thermal point is near mapped industrial feature; WorldCover=CROPLAND,Thermal observation spatially associated with industrial infrastructure
EVT_20260319_0023,2026-03-19,2140,2140,1,1,N21,1.01,1.01,1.01,22.32976,69.75134,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,197338462.0,Vadinar Refinery,oil,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Vadinar Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260319_0024,2026-03-19,2140,2140,1,1,N21,1.98,1.98,1.98,22.33289,69.86809,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260319_0025,2026-03-19,2140,2140,1,1,N21,1.0,1.0,1.0,22.34099,69.85595,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260319_0026,2026-03-19,2140,2140,1,1,N21,0.49,0.49,0.49,22.42703,69.83289,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,512087981.0,Sikka,,,substation,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Sikka; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260320_0027,2026-03-20,852,852,1,1,N21,4.8,4.8,4.8,22.31723,69.79076,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,197338462.0,Vadinar Refinery,oil,industrial,,,2.346,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260320_0028,2026-03-20,852,852,1,1,N21,10.85,10.85,10.85,22.35819,69.79417,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,197338462.0,Vadinar Refinery,oil,industrial,,,2.215,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260321_0029,2026-03-21,835,835,1,1,N21,6.03,6.03,6.03,22.29692,69.99956,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1263638688.0,,,industrial,plant,,1.719,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260321_0030,2026-03-21,835,835,1,1,N21,7.8,7.8,7.8,22.32512,69.82381,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,91585872.0,Reliance Refinery,refinery,industrial,,,1.622,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260321_0031,2026-03-21,835,835,1,1,N21,3.38,3.38,3.38,22.44778,69.98093,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,984259059.0,,,industrial,,,2.473,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
