latitude,longitude,acq_date,acq_time,satellite,frp,confidence,daynight,worldcover_class_code,worldcover_class
22.44778,69.98093,2026-03-21,835,N21,3.38,l,D,40,CROPLAND
22.44946,69.99204,2026-03-21,835,N21,1.08,l,D,40,CROPLAND
22.45982,69.97122,2026-03-21,835,N21,3.41,l,D,20,SHRUBLAND
22.33971,69.8543,2026-03-21,2101,N21,2.13,n,N,50,BUILT_UP
22.43778,69.99409,2026-03-22,813,N21,11.25,n,D,40,CROPLAND
22.38413,69.9849,2026-03-25,858,N21,13.79,n,D,40,CROPLAND
22.42959,69.83186,2026-03-25,2125,N21,1.34,n,N,50,BUILT_UP
22.35593,69.79166,2026-03-26,839,N21,15.67,l,D,40,CROPLAND
22.43152,69.97115,2026-03-26,839,N21,15.39,l,D,40,CROPLAND
22.3382,69.85419,2026-03-26,2108,N21,2.15,n,N,50,BUILT_UP
22.37992,69.95703,2026-03-27,820,N21,28.55,n,D,40,CROPLAND
22.3405,69.85612,2026-03-27,2049,N21,3.15,n,N,50,BUILT_UP
22.43019,69.83276,2026-03-27,2049,N21,1.41,n,N,50,BUILT_UP
22.29349,69.98151,2026-03-28,803,N21,3.08,n,D,40,CROPLAND
22.4136,69.89274,2026-03-28,803,N21,13.36,n,D,40,CROPLAND
22.33166,69.86633,2026-03-28,2029,N21,2.96,n,N,50,BUILT_UP
22.33843,69.85404,2026-03-30,2131,N21,3.81,n,N,50,BUILT_UP
22.25853,69.89301,2026-03-31,845,N21,18.98,l,D,40,CROPLAND
22.33841,69.85287,2026-03-31,2114,N21,2.98,n,N,50,BUILT_UP
22.33744,69.71162,2026-04-05,852,N21,7.06,l,D,40,CROPLAND
22.33615,69.86816,2026-04-06,2101,N21,1.62,n,N,50,BUILT_UP
22.33846,69.85339,2026-04-06,2101,N21,2.21,n,N,50,BUILT_UP
22.39186,69.87063,2026-04-08,756,N21,1.67,n,D,40,CROPLAND
22.31215,69.71574,2026-04-08,2023,N21,0.46,n,N,40,CROPLAND
22.31327,69.71584,2026-04-08,2023,N21,1.01,n,N,30,GRASSLAND
22.32952,69.73843,2026-04-09,2146,N21,1.18,n,N,50,BUILT_UP
22.3314,69.74002,2026-04-09,2146,N21,1.58,n,N,50,BUILT_UP
22.39724,69.82426,2026-04-10,858,N21,4.68,l,D,40,CROPLAND
22.33133,69.73916,2026-04-10,2125,N21,1.97,n,N,20,SHRUBLAND
22.33212,69.73502,2026-04-10,2125,N21,1.2,n,N,50,BUILT_UP
22.43124,69.83454,2026-04-10,2125,N21,1.1,n,N,50,BUILT_UP
22.33292,69.7366,2026-04-11,2108,N21,1.72,n,N,40,CROPLAND
22.33247,69.73551,2026-04-12,2046,N21,1.92,n,N,50,BUILT_UP
22.33009,69.73493,2026-04-14,2153,N21,1.82,n,N,50,BUILT_UP
22.45119,69.98673,2026-04-18,807,N21,13.65,n,D,40,CROPLAND
22.20879,69.74622,2026-04-19,750,N21,9.06,n,D,40,CROPLAND
22.33941,69.85428,2026-04-22,2101,N21,3.21,n,N,50,BUILT_UP
22.41263,69.93995,2026-05-01,905,N21,6.97,n,D,40,CROPLAND
22.41554,69.92569,2026-05-01,2131,N21,1.09,n,N,40,CROPLAND
22.25767,69.79171,2026-05-02,845,N21,16.38,l,D,40,CROPLAND
22.35215,69.8322,2026-05-03,826,N21,8.14,l,D,40,CROPLAND
22.32323,69.87736,2026-05-05,2019,N21,4.0,n,N,50,BUILT_UP
22.32335,69.8791,2026-05-05,2019,N21,4.16,n,N,50,BUILT_UP
22.29427,69.9338,2026-05-06,909,N21,5.08,n,D,40,CROPLAND
22.29493,69.93437,2026-05-06,909,N21,6.21,n,D,40,CROPLAND
22.33965,69.86987,2026-05-06,2138,N21,2.09,n,N,60,BARE_SPARSE_VEGETATION
22.32724,69.73833,2026-05-11,2144,N21,1.26,n,N,40,CROPLAND
22.32963,69.73843,2026-05-12,2125,N21,9.71,n,N,50,BUILT_UP
22.33224,69.73727,2026-05-13,837,N21,9.88,l,D,30,GRASSLAND
22.32934,69.7366,2026-05-13,2108,N21,1.18,n,N,20,SHRUBLAND
22.33331,69.73341,2026-05-13,2108,N21,0.64,n,N,40,CROPLAND
22.32113,69.88214,2026-05-14,2046,N21,3.59,n,N,50,BUILT_UP
22.32247,69.87892,2026-05-14,2046,N21,3.31,n,N,50,BUILT_UP
22.33116,69.73651,2026-05-14,2046,N21,3.17,n,N,20,SHRUBLAND
22.33176,69.73208,2026-05-14,2046,N21,2.05,n,N,20,SHRUBLAND
22.33148,69.73385,2026-05-15,2029,N21,8.27,n,N,60,BARE_SPARSE_VEGETATION
22.32906,69.7291,2026-05-16,741,N21,8.68,n,D,40,CROPLAND
22.33034,69.73445,2026-05-16,741,N21,8.68,n,D,50,BUILT_UP
22.33144,69.73557,2026-05-16,922,N21,10.05,n,D,50,BUILT_UP
22.33186,69.74107,2026-05-16,922,N21,10.05,n,D,50,BUILT_UP
22.33187,69.73861,2026-05-16,2153,N21,5.01,n,N,60,BARE_SPARSE_VEGETATION
22.33288,69.73816,2026-05-16,2153,N21,6.64,n,N,30,GRASSLAND
22.33126,69.7318,2026-05-20,2036,N21,4.68,n,N,20,SHRUBLAND
22.33316,69.73292,2026-05-20,2036,N21,5.27,n,N,40,CROPLAND
22.33461,69.73081,2026-05-21,748,N21,3.31,n,D,10,TREE_COVER
22.3301,69.73223,2026-05-21,2017,N21,1.48,n,N,50,BUILT_UP
22.30894,69.71965,2026-05-22,2138,N21,1.01,n,N,20,SHRUBLAND
22.31121,69.72086,2026-05-22,2138,N21,0.77,n,N,20,SHRUBLAND
22.33207,69.73598,2026-05-22,2138,N21,6.76,n,N,50,BUILT_UP
22.33337,69.73755,2026-05-23,852,N21,16.01,n,D,40,CROPLAND
22.3384,69.85451,2026-05-23,2121,N21,1.97,n,N,50,BUILT_UP
22.29005,69.74286,2026-05-24,833,N21,4.55,l,D,20,SHRUBLAND
22.32951,69.73589,2026-05-24,833,N21,11.06,l,D,50,BUILT_UP
22.3328,69.7353,2026-05-24,833,N21,7.63,l,D,50,BUILT_UP
22.33081,69.72823,2026-05-27,2004,N21,6.4,n,N,40,CROPLAND
22.3327,69.72951,2026-05-27,2004,N21,4.42,n,N,10,TREE_COVER
22.3505,69.75138,2026-05-27,2004,N21,2.32,n,N,20,SHRUBLAND
22.33235,69.73709,2026-05-27,2144,N21,3.2,n,N,20,SHRUBLAND
22.34621,69.75409,2026-05-27,2144,N21,2.75,n,N,30,GRASSLAND
22.34713,69.74997,2026-05-27,2144,N21,2.75,n,N,20,SHRUBLAND
22.33627,69.86784,2026-05-29,2108,N21,1.95,n,N,50,BUILT_UP
22.33089,69.73832,2026-06-01,2104,N20,0.97,n,N,20,SHRUBLAND
22.32742,69.73811,2026-06-01,2150,N21,1.72,n,N,40,CROPLAND
22.33898,69.85458,2026-06-03,2114,N21,2.16,n,N,50,BUILT_UP
22.32888,69.73837,2026-06-04,920,N20,2.63,n,D,60,BARE_SPARSE_VEGETATION
22.32926,69.74282,2026-06-04,920,N20,2.63,n,D,50,BUILT_UP
22.34049,69.85591,2026-06-06,2110,N20,3.51,n,N,50,BUILT_UP
22.31752,69.88602,2026-06-08,2121,N21,2.38,n,N,60,BARE_SPARSE_VEGETATION
22.3204,69.88245,2026-06-08,2121,N21,4.54,n,N,50,BUILT_UP
22.32238,69.88252,2026-06-09,833,N21,14.6,n,D,80,PERMANENT_WATER_BODIES
22.3182,69.88745,2026-06-09,926,N20,3.68,n,D,40,CROPLAND
22.31928,69.8815,2026-06-09,2014,N20,8.29,n,N,50,BUILT_UP
22.3197,69.87608,2026-06-09,2014,N20,6.49,n,N,50,BUILT_UP
22.32014,69.87059,2026-06-09,2014,N20,6.49,n,N,50,BUILT_UP
22.32564,69.88213,2026-06-09,2014,N20,8.29,n,N,50,BUILT_UP
22.32607,69.87666,2026-06-09,2014,N20,6.49,h,N,50,BUILT_UP
22.3265,69.87119,2026-06-09,2014,N20,6.49,n,N,50,BUILT_UP
22.31917,69.88369,2026-06-09,2059,N21,7.56,n,N,50,BUILT_UP
22.31974,69.88,2026-06-09,2059,N21,3.02,n,N,50,BUILT_UP
22.32032,69.87631,2026-06-09,2059,N21,3.02,n,N,50,BUILT_UP
22.32245,69.88428,2026-06-09,2059,N21,4.78,n,N,50,BUILT_UP
22.32302,69.88059,2026-06-09,2059,N21,9.38,n,N,50,BUILT_UP
22.3236,69.87691,2026-06-09,2059,N21,9.38,n,N,50,BUILT_UP
22.32631,69.88118,2026-06-09,2059,N21,9.38,n,N,50,BUILT_UP
22.32688,69.87749,2026-06-09,2059,N21,9.38,n,N,50,BUILT_UP
22.31843,69.89112,2026-06-09,2153,N20,16.63,n,N,50,BUILT_UP
22.31973,69.88573,2026-06-09,2153,N20,16.63,n,N,50,BUILT_UP
22.32104,69.88033,2026-06-09,2153,N20,14.48,h,N,60,BARE_SPARSE_VEGETATION
22.32233,69.87494,2026-06-09,2153,N20,14.48,n,N,50,BUILT_UP
22.32459,69.8929,2026-06-09,2153,N20,3.0,n,N,50,BUILT_UP
22.32589,69.8875,2026-06-09,2153,N20,3.0,n,N,50,BUILT_UP
22.32719,69.88211,2026-06-09,2153,N20,6.39,n,N,10,TREE_COVER
22.33482,69.8681,2026-06-12,2057,N20,2.24,n,N,50,BUILT_UP
22.34205,69.8616,2026-06-14,2019,N20,3.86,n,N,50,BUILT_UP
22.34317,69.86622,2026-06-15,2046,N21,3.97,n,N,60,BARE_SPARSE_VEGETATION
22.34302,69.86884,2026-06-15,2142,N20,3.43,n,N,60,BARE_SPARSE_VEGETATION
22.31884,69.87939,2026-06-17,2010,N21,2.53,n,N,50,BUILT_UP
22.31926,69.87385,2026-06-17,2010,N21,3.47,n,N,50,BUILT_UP
22.32408,69.88058,2026-06-17,2104,N20,2.85,n,N,50,BUILT_UP
22.3363,69.86761,2026-06-17,2104,N20,2.02,n,N,50,BUILT_UP
22.33996,69.85391,2026-06-19,2114,N21,3.09,n,N,50,BUILT_UP
22.34022,69.85422,2026-06-20,2053,N21,4.58,n,N,50,BUILT_UP
22.4379,69.91242,2026-06-21,900,N20,2.53,n,D,60,BARE_SPARSE_VEGETATION
22.33511,69.86858,2026-06-22,2110,N20,3.85,n,N,50,BUILT_UP
22.33834,69.868,2026-06-23,2051,N20,2.59,n,N,50,BUILT_UP
22.34016,69.85503,2026-06-23,2051,N20,2.99,n,N,50,BUILT_UP
22.33689,69.86764,2026-06-25,2059,N21,4.65,n,N,50,BUILT_UP
22.32294,69.88258,2026-06-27,2116,N20,3.05,n,N,80,PERMANENT_WATER_BODIES
22.3391,69.85394,2026-06-27,2116,N20,3.08,n,N,50,BUILT_UP
22.33986,69.85631,2026-06-28,2057,N20,1.18,n,N,50,BUILT_UP
22.33484,69.86742,2026-06-29,2125,N21,3.72,n,N,50,BUILT_UP
22.33735,69.85474,2026-06-29,2125,N21,4.19,n,N,50,BUILT_UP
22.33558,69.86704,2026-06-30,2108,N21,3.66,n,N,50,BUILT_UP
22.33749,69.85552,2026-06-30,2108,N21,4.4,n,N,50,BUILT_UP
22.33493,69.86871,2026-07-08,2110,N20,3.26,n,N,50,BUILT_UP
22.3349,69.86817,2026-07-16,2201,N20,4.27,n,N,60,BARE_SPARSE_VEGETATION
22.33016,69.86285,2026-07-18,2029,N21,5.78,n,N,50,BUILT_UP
22.34027,69.85518,2026-08-04,2106,N20,1.84,n,N,50,BUILT_UP
22.33785,69.86696,2026-08-09,2112,N20,1.23,n,N,50,BUILT_UP
22.33982,69.85525,2026-08-09,2112,N20,1.06,n,N,50,BUILT_UP
22.33806,69.85318,2026-08-14,2023,N21,2.08,n,N,50,BUILT_UP
22.33921,69.8703,2026-08-24,2036,N21,2.69,n,N,50,BUILT_UP
22.33969,69.86611,2026-08-24,2036,N21,2.69,n,N,50,BUILT_UP
22.34017,69.86192,2026-08-24,2036,N21,3.82,n,N,50,BUILT_UP
22.34343,69.87085,2026-08-24,2036,N21,7.01,n,N,50,BUILT_UP
22.34392,69.86665,2026-08-24,2036,N21,7.01,n,N,60,BARE_SPARSE_VEGETATION
22.3444,69.86245,2026-08-24,2036,N21,2.37,n,N,50,BUILT_UP
22.34236,69.87119,2026-08-24,2131,N20,5.31,n,N,50,BUILT_UP
22.33997,69.85574,2026-08-25,2112,N20,3.06,n,N,50,BUILT_UP
22.3412,69.85442,2026-08-25,2112,N20,2.19,n,N,50,BUILT_UP
22.32085,69.8827,2026-08-26,2053,N20,1.41,n,N,10,TREE_COVER
22.32132,69.88142,2026-08-26,2053,N20,1.49,n,N,50,BUILT_UP
