event_id,latitude,longitude,event_date,event_start_time,max_frp,observation_count,source_class,classification_confidence,industrial_evidence_score,evidence,osm_intersections,osm_nearby_features,nearest_osm_name,nearest_osm_distance_m,nearest_osm_strength
EVT_20260408_0053,22.39186,69.87063,2026-04-08,756,1.67,1,INDUSTRIAL_ASSOCIATED,MEDIUM,2,industrial_feature_nearby,0,1,,940.6835366717131,MODERATE
EVT_20260408_0054,22.31271,69.71579,2026-04-08,2023,1.01,2,INDUSTRIAL_ASSOCIATED,HIGH,5,strong_industrial_feature_nearby;industrial_feature_nearby,0,2,Essar Power,122.15623128695896,MODERATE
EVT_20260409_0055,22.33046,69.739225,2026-04-09,2146,1.58,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,16,Vadinar Refinery,0.0,STRONG
EVT_20260410_0056,22.39724,69.82426,2026-04-10,858,4.68,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260410_0057,22.331725,69.73709,2026-04-10,2125,1.97,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,16,Vadinar Refinery,0.0,STRONG
EVT_20260410_0058,22.43124,69.83454,2026-04-10,2125,1.1,1,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
EVT_20260411_0059,22.33292,69.7366,2026-04-11,2108,1.72,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,11,Vadinar Refinery,0.0,STRONG
EVT_20260412_0060,22.33247,69.73551,2026-04-12,2046,1.92,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,10,Vadinar Refinery,0.0,STRONG
EVT_20260414_0061,22.33009,69.73493,2026-04-14,2153,1.82,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,16,Vadinar Refinery,0.0,STRONG
EVT_20260418_0062,22.45119,69.98673,2026-04-18,807,13.65,1,UNKNOWN,LOW,0,,0,0,,,
