osm_type,osm_id,name,industrial,landuse,power,man_made,operator,centroid_lat,centroid_lon,geometry_wkt
way,592629551,,,,,storage_tank,,8.756535929411765,78.19112427058823,POINT(78.19112427058823 8.756535929411765)
way,592629552,,,,,storage_tank,,8.756726758823529,78.18871346470588,POINT(78.18871346470588 8.756726758823529)
way,592629553,,,,,storage_tank,,8.75644575882353,78.18866248235294,POINT(78.18866248235294 8.75644575882353)
way,592629554,,,,,storage_tank,,8.756171529411764,78.18861676470588,POINT(78.18861676470588 8.756171529411764)
way,592629580,,,,,storage_tank,,8.766746730434782,78.19653003913044,POINT(78.19653003913044 8.766746730434782)
way,592629581,,,,,storage_tank,,8.767272926086957,78.19664269130435,POINT(78.19664269130435 8.767272926086957)
way,592629582,,,,,storage_tank,,8.767134891304348,78.19768962608696,POINT(78.19768962608696 8.767134891304348)
way,592629583,,,,,storage_tank,,8.766493791304347,78.19739832608695,POINT(78.19739832608695 8.766493791304347)
way,657801518,,,industrial,,,,8.822152152380951,78.07674102380953,POINT(78.07674102380953 8.822152152380951)
way,661590301,,,industrial,,,,8.807658228571428,78.0981431142857,POINT(78.0981431142857 8.807658228571428)
way,661590303,,,industrial,,,,8.81764389,78.07430246,POINT(78.07430246 8.81764389)
way,661590305,,,industrial,,,,8.815875578571427,78.07669652142856,POINT(78.07669652142856 8.815875578571427)
way,662798206,NTPL Thermal Power Station,,industrial,plant,,,8.761193966666667,78.16923425833333,POINT(78.16923425833333 8.761193966666667)
way,662798207,Tuticorin Thermal Power Station,,industrial,plant,,,8.76317986,78.17547943999999,POINT(78.17547943999999 8.76317986)
way,740794217,,,,,storage_tank,,8.79202966551724,78.13948498275862,POINT(78.13948498275862 8.79202966551724)
way,822892679,SEPC,,industrial,plant,,SEPC,8.755511228571429,78.15764255714285,POINT(78.15764255714285 8.755511228571429)
way,823674453,,,industrial,,,,8.804662058333333,78.15820320833333,POINT(78.15820320833333 8.804662058333333)
way,823674454,,,industrial,,,,8.80580304,78.15950899999999,POINT(78.15950899999999 8.80580304)
way,823674462,,,industrial,,,,8.740437147619048,78.03027374761905,POINT(78.03027374761905 8.740437147619048)
way,906390049,,,industrial,,,,8.89374776,78.13363652000001,POINT(78.13363652000001 8.89374776)
way,906827207,,,,,works,,8.7673659875,78.197238625,POINT(78.197238625 8.7673659875)
way,906827213,,,,,works,,8.757700680000001,78.19351082,POINT(78.19351082 8.757700680000001)
way,906827214,,,,,works,,8.756244910000001,78.18909109,POINT(78.18909109 8.756244910000001)
way,906827216,,,,,works,,8.73689363111111,78.13686148000001,POINT(78.13686148000001 8.73689363111111)
way,906827217,,,industrial,,,,8.87431518,78.1378746,POINT(78.1378746 8.87431518)
way,906827218,,,industrial,,,,8.839155315384614,78.10328391538461,POINT(78.10328391538461 8.839155315384614)
way,906827219,,,industrial,,,,8.8516773875,78.1217271625,POINT(78.1217271625 8.8516773875)
way,906827220,,,industrial,,,,8.856244328571428,78.05725935714285,POINT(78.05725935714285 8.856244328571428)
way,906827221,,,industrial,,,,8.853188966666666,78.057077,POINT(78.057077 8.853188966666666)
way,906831348,,,industrial,,,,8.659586683333332,78.09051855,POINT(78.09051855 8.659586683333332)
way,906831349,,,industrial,,,,8.662339711764707,78.09131435294117,POINT(78.09131435294117 8.662339711764707)
way,906831350,,,industrial,,,,8.703760280000001,78.09355078,POINT(78.09355078 8.703760280000001)
way,906831351,,,industrial,,,,8.7227614,78.10502297142857,POINT(78.10502297142857 8.7227614)
way,906831352,,,industrial,,,,8.729260066666667,78.10212118333334,POINT(78.10212118333334 8.729260066666667)
way,906831356,,,,,works,,8.737318785714285,78.14407301428572,POINT(78.14407301428572 8.737318785714285)
way,906831358,,,,,works,,8.7385308,78.14864961666667,POINT(78.14864961666667 8.7385308)
way,906837208,,,industrial,,,,8.894548,78.10911536666667,POINT(78.10911536666667 8.894548)
way,906837209,,,industrial,,,,8.8823393,78.10857617333333,POINT(78.10857617333333 8.8823393)
way,986411990,Arasadi,,industrial,plant,,,8.887708891666668,78.0644229,POINT(78.0644229 8.887708891666668)
way,986423924,,,industrial,plant,,,8.767448441176471,77.95640234117647,POINT(77.95640234117647 8.767448441176471)
way,1003158311,,,industrial,plant,,,8.845028229411765,78.08353862941176,POINT(78.08353862941176 8.845028229411765)
way,1011035031,Orange Sironj,,industrial,substation,,,8.855607855555554,78.03053545555557,POINT(78.03053545555557 8.855607855555554)
way,1073989739,,,industrial,,,,8.80069234347826,78.09619544782609,POINT(78.09619544782609 8.80069234347826)
way,1073989741,,,industrial,,,,8.802512792592593,78.07995952962963,POINT(78.07995952962963 8.802512792592593)
way,1222785220,,depot,industrial,,,,8.778350994117647,78.1242396764706,POINT(78.1242396764706 8.778350994117647)
way,1235088522,,,industrial,,,,8.772134012121212,78.10846566666666,POINT(78.10846566666666 8.772134012121212)
way,1268305324,,,industrial,plant,,,8.661406333333334,77.94251261904762,POINT(77.94251261904762 8.661406333333334)
way,1384361544,,,,plant,,,8.749508684615385,78.17800819230769,POINT(78.17800819230769 8.749508684615385)
way,1431653737,Vinfast Auto,,industrial,,,,8.851988925,78.08176869411764,POINT(78.08176869411764 8.851988925)
way,1432129271,,,,plant,,,8.850357501639344,78.03663475573771,POINT(78.03663475573771 8.850357501639344)
way,1432129272,,,,plant,,,8.837031261702128,78.03327903829788,POINT(78.03327903829788 8.837031261702128)
way,1442917861,,,,plant,,,8.727955900000001,78.02724822,POINT(78.02724822 8.727955900000001)
way,1453652971,,,,plant,,,8.58117631,77.90702414,POINT(77.90702414 8.58117631)
way,1468877017,,,,plant,,,8.551026709090909,77.95223592727272,POINT(77.95223592727272 8.551026709090909)
way,1504375937,,,industrial,,,,8.513637671428572,78.11823784285714,POINT(78.11823784285714 8.513637671428572)
way,1516453098,,,industrial,,,,8.893579200000001,78.02037476000001,POINT(78.02037476000001 8.893579200000001)
way,1516453099,,,industrial,,,,8.89804126,78.02106463999999,POINT(78.02106463999999 8.89804126)
way,1516453102,,,industrial,,,,8.8475645,78.07137962,POINT(78.07137962 8.8475645)
relation,9212425,,,industrial,,,,,,
relation,11278577,,port,industrial,,,,,,
relation,11278578,Thoothukudi Fishing Harbour,port,industrial,,,,,,
relation,16765870,,,,plant,,,,,
relation,17348197,SPIC Thoothukudi Floating Solar PV Park,,,plant,,,,,
relation,17415628,,,,plant,,,,,
way,1268305323,,,,,,,8.658283471428572,77.94137698571429,POINT(77.94137698571429 8.658283471428572)
way,1268305313,,,,,,,8.663728194117647,77.94244371764705,POINT(77.94244371764705 8.663728194117647)
